state,x,y
0,Andhra Pradesh,-88.0,-105.0
1,Arunachal Pradesh,284.0,114.0
2,Assam,252.0,79.0
3,Bihar,80.0,64.0
4,Chhattisgarh,-18.0,-5.0
5,Goa,-210.0,-97.0
6,Gujarat,-272.0,21.0
7,Haryana,-149.0,115.0
8,Himachal Pradesh,-126.0,160.0
9,Jharkhand,64.0,29.0
10,Karnataka,-170.0,-113.0
11,Kerala,-150.0,-173.0
12,Madhya Pradesh,-114.0,25.0
13,Maharashtra,-186.0,-37.0
14,Manipur,278.0,55.0
15,Meghalaya,200.0,65.0
16,Mizoram,255.0,36.0
17,Nagaland,292.0,81.0
18,Odisha,49.0,-14.0
19,Punjab,-172.0,144.0
20,Rajasthan,-212.0,79.0
21,Sikkim,140.0,107.0
22,Tamil Nadu,-107.0,-168.0
23,Telangana,-88.0,-57.0
24,Tripura,206.0,42.0
25,Uttar Pradesh,-50.0,81.0
26,Uttarakhand,-92.0,133.0
27,West Bengal,128.0,27.0
